Site,Category 1,Category 2,Category 3,Category 4
100PercentFedUp.com,0,1,1,0
21stCenturyWire.com,0,1,1,0
70news.wordpress.com,1,0,0,0
Abcnews.com.co,1,0,0,0
ActivistPost.com,0,1,1,0
Addicting Info,0,0,1,0
AmericanNews.com,1,0,0,0
AnonNews.co,0,0,1,0
Associated Media Coverage,0,0,0,0
BeforeItsNews.com,0,0,0,0
Being Liberal,0,0,0,0
BigAmericanNews.com,0,0,0,0
BigPZone.com,0,0,0,0
Bipartisan Report,0,0,1,0
BizPac Review,0,0,0,0
Blue Nation Review,0,1,1,0
Breitbart,0,1,1,0
Call the Cops,0,0,0,1
Cap News,0,0,0,1
ChristWire.org,0,0,0,1
Chronicle.su,0,0,0,0
CivicTribune.com,1,0,0,0
ClickHole.com,0,0,0,1
CoastToCoastAM.com,0,1,0,0
CollectiveEvolution,0,0,1,0
ConsciousLifeNews.com,0,1,0,0
ConservativeOutfitters.com,0,1,0,0
ConspiracyWire (WideAwakeAmerica.com),0,1,0,0
CountdownToZeroTime.com,0,1,0,0
CounterPsyOps.com,0,0,0,0
CreamBMP.com,1,0,0,0
DailyBuzzLive.com,0,0,0,0
DailyCurrant.com,0,0,0,0
Daily Wire,0,0,0,0
DCClothesLine.com,0,0,0,0
DCGazette.com,1,0,0,0
DerfMagazine.com,0,0,0,0
Disclose.tv,0,0,0,0
DrudgeReport.com.co,1,0,0,0
DuffleBlog.com,0,0,0,1
DuhProgressive.com,0,0,0,0
Embols.com,0,0,0,0
Empire Herald,0,0,0,0
Empire News,1,0,0,0
EmpireNews.com,0,0,0,0
Endingthefed.com,0,0,0,0
EnduringVision.com,1,0,0,0
FPRNradio.com,0,0,0,0
The Free Thought Project,0,0,1,0
GeoEngineeringWatch.org,0,0,0,0
GovtSlaves.info,0,0,0,0
GulagBound.com,0,0,0,0
HangTheBankers.com,0,0,0,0
HumansAreFree.com,0,0,0,0
Huzlers,0,0,0,1
IfYouOnlyNews,0,0,0,0
Indecision Forever,1,0,0,0
IJR (Independent Journal Review),0,0,0,0
InfoWars,1,1,0,0
Infowars.com,0,0,0,0
IntelliHub.com,0,0,0,0
Inquisitr.com,0,0,0,0
JonesReport.com,0,0,0,0
LewRockwell.com,0,0,0,0
Liberal America,0,0,0,0
LibertyTalk.fm,0,0,0,0
LibertyUnyielding,0,0,0,0
LibertyVideos.org,0,0,0,0
LMR/LibertyMovementRadio.com,0,0,0,0
MediaMass.net,1,0,0,0
MegynKelly.us,1,0,0,0
MSNBC.com.co,1,0,0,0
MSNBC.website,1,0,0,0
Naha Daily,0,0,0,1
National Report,0,0,0,0
NationalReport.net,1,0,0,0
NaturalNews.com,0,0,0,0
NC Scooper,0,0,0,0
NCT (New Century Times),0,0,0,0
News Examiner,0,0,0,0
News-Hound.com,1,0,0,0
NewsBiscuit.com,1,0,0,0
Newslo,1,0,0,1
NewsMutiny.com,1,0,0,1
Newswatch 28,0,0,0,0
Newswatch 33,0,0,0,0
NewsWire-24.com,0,0,0,0
NoDisInfo.com,0,0,0,0
Now8News,0,0,0,0
NowTheEndBegins.com,0,0,0,0
Occupy Democrats,0,0,1,0
PakAlertPress.com,0,0,0,0
PoliticalBlindSpot.com,0,0,0,0
PoliticalEars.com,0,0,0,0
Politicalo,1,0,0,0
PoliticusUSA,0,0,0,0
PrisonPlanet.com,0,0,0,0
PrisonPlanet.tv,0,0,0,0
Private-eye.co.uk,0,0,0,1
ProjectVeritas,0,0,0,0
React 365,0,0,0,0
RealFarmacy.com,0,0,0,0
RealNewsRightNow.com,1,0,0,1
RedFlagNews.com,0,0,0,0
Red State,0,0,1,0
Reductress,0,0,0,1
RileNews.com,1,0,0,1
Satira Tribune,0,0,0,0
Sprotspickle.com,0,0,0,1
The Blaze,0,0,0,0
The Free Thought Project,0,0,1,0
Borowitz Report,0,0,0,1
The Onion,0,0,0,1
The Other 98%,0,0,1,0
The Reporterz,0,0,0,0
The Stately Harold,0,0,0,0
TheDailySheeple.com,0,0,0,0
TheNewsNerd.com,0,0,0,0
TheRunDownLive.com,0,0,0,0
TheUsPatriot.com,0,0,0,0
TruthFrequencyRadio.com,0,0,0,0
Twitchy.com,0,0,1,0
UnconfirmedSources.com,0,0,0,0
USA Supreme,0,0,0,0
US.Blasting.News,0,0,0,0
US Uncut,0,0,1,0
VeteransToday.com,0,0,0,0
WakingUpWisconsin.com,0,0,0,0
Winning Democrats,0,0,0,0
WitScience.org,0,0,0,0
World Net Daily,0,0,0,0
World News Daily Report,0,0,0,1
WorldTruth.tv,0,0,0,0
ZeroHedge,0,0,0,0
